artist,collaboration,country_tfidf_score,curse_flag,dirtiness_score,genre,hip_hop_tfidf_score,pop_tfidf_score,rock_tfidf_score,song,total_lyrics,unique_words,whiskey_flag,year
Ed Sheeran,0,0.32,0,0,pop,0.36,0.36,0.24,Shape Of You,715,143,0,2017
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,0.08,0,0,pop,0.06,0.14,0.08,Despacito,515,187,0,2017
Bruno Mars,0,0.3,1,1,pop,0.36,0.4,0.22,That's What I Like,565,136,0,2017
Kendrick Lamar,0,0.42,1,8,hip-hop,0.46,0.36,0.22,HUMBLE.,638,200,0,2017
The Chainsmokers & Coldplay,1,0.14,0,0,pop,0.12,0.18,0.1,Something Just Like This,341,81,0,2017
Migos Featuring Lil Uzi Vert,1,0.4,1,6,hip-hop,0.52,0.4,0.26,Bad And Boujee,1246,347,0,2017
The Chainsmokers Featuring Halsey,1,0.18,0,0,pop,0.14,0.18,0.12,Closer,412,103,0,2017
Sam Hunt,0,0.2,0,0,country,0.22,0.24,0.16,Body Like A Back Road,307,108,0,2017
Imagine Dragons,0,0.14,0,0,rock,0.18,0.24,0.16,Believer,419,131,0,2017
Post Malone Featuring Quavo,1,0.32,1,4,hip-hop,0.36,0.3,0.16,Congratulations,542,175,0,2017
James Arthur,0,0.4,0,0,pop,0.3,0.44,0.26,Say You Won't Let Go,386,159,0,2017
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1,0.48,1,2,hip-hop,0.54,0.48,0.38,I'm The One,1053,226,0,2017
Lil Uzi Vert,0,0.38,1,2,hip-hop,0.4,0.38,0.2,XO TOUR Llif3,503,166,0,2017
Future,0,0.2,1,3,hip-hop,0.22,0.14,0.12,Mask Off,378,159,0,2017
French Montana Featuring Swae Lee,1,0.38,1,3,hip-hop,0.5,0.46,0.26,Unforgettable,559,171,0,2017
Bruno Mars,0,0.34,1,2,pop,0.46,0.34,0.22,24K Magic,492,159,0,2017
Zedd & Alessia Cara,1,0.16,0,0,pop,0.22,0.24,0.14,Stay,315,85,0,2017
DJ Khaled Featuring Rihanna & Bryson Tiller,1,0.28,1,4,hip-hop,0.42,0.36,0.22,Wild Thoughts,512,172,0,2017
Rae Sremmurd Featuring Gucci Mane,1,0.28,1,4,hip-hop,0.46,0.42,0.3,Black Beatles,610,237,0,2017
The Weeknd Featuring Daft Punk,1,0.22,1,2,pop,0.34,0.26,0.22,Starboy,637,173,0,2017
Khalid,0,0.28,0,0,hip-hop,0.28,0.36,0.2,Location,325,95,0,2017
Charlie Puth,0,0.3,0,0,pop,0.22,0.36,0.26,Attention,524,92,0,2017
Shawn Mendes,0,0.24,0,0,pop,0.26,0.32,0.26,There's Nothing Holdin' Me Back,360,100,0,2017
Cardi B,0,0.48,1,6,hip-hop,0.64,0.5,0.3,Bodak Yellow,823,238,0,2017
Childish Gambino,0,0.3,1,3,pop,0.32,0.32,0.16,Redbone,277,92,0,2017
Zayn / Taylor Swift,1,0.28,0,0,pop,0.3,0.36,0.26,I Don't Wanna Live Forever,416,110,0,2017
Kygo x Selena Gomez,1,0.2,0,0,pop,0.18,0.2,0.14,It Ain't Me,387,89,1,2017
KYLE Featuring Lil Yachty,1,0.44,1,5,hip-hop,0.6,0.58,0.4,iSpy,784,279,0,2017
Julia Michaels,0,0.26,1,1,pop,0.3,0.24,0.2,Issues,395,89,0,2017
Alessia Cara,0,0.2,0,0,pop,0.14,0.28,0.22,Scars To Your Beautiful,513,122,0,2017
Logic Featuring Alessia Cara & Khalid,1,0.34,1,1,hip-hop,0.38,0.42,0.26,1-800-273-8255,633,160,0,2017
Niall Horan,0,0.3,0,0,pop,0.32,0.38,0.22,Slow Hands,283,80,0,2017
Rihanna,0,0.28,0,0,pop,0.24,0.3,0.2,Love On The Brain,372,99,0,2017
The Weeknd Featuring Daft Punk,1,0.3,0,0,pop,0.36,0.42,0.24,I Feel It Coming,559,90,0,2017
Big Sean,0,0.28,1,7,hip-hop,0.52,0.36,0.24,Bounce Back,710,261,0,2017
Liam Payne Featuring Quavo,1,0.42,0,0,pop,0.4,0.46,0.26,Strip That Down,754,172,0,2017
Drake,0,0.26,1,1,hip-hop,0.34,0.34,0.2,Fake Love,487,92,0,2017
Maroon 5 Featuring Kendrick Lamar,1,0.32,0,0,pop,0.32,0.38,0.26,Don't Wanna Know,614,116,0,2017
Taylor Swift,0,0.26,0,0,pop,0.26,0.3,0.22,Look What You Made Me Do,586,113,0,2017
Ed Sheeran,0,0.22,0,0,pop,0.18,0.24,0.18,Castle On The Hill,369,137,0,2017
Machine Gun Kelly x Camila Cabello,1,0.4,0,0,hip-hop,0.38,0.48,0.24,Bad Things,703,154,0,2017
The Chainsmokers,1,0.14,0,0,pop,0.14,0.18,0.1,Paris,441,90,0,2017
Ariana Grande Featuring Nicki Minaj,1,0.38,1,1,pop,0.4,0.42,0.3,Side To Side,562,152,0,2017
Clean Bandit Featuring Sean Paul & Anne-Marie,1,0.36,0,0,pop,0.36,0.44,0.32,Rockabye,711,179,0,2017
Portugal. The Man,1,0.3,0,0,pop,0.32,0.4,0.28,Feel It Still,364,111,0,2017
DJ Snake Featuring Justin Bieber,1,0.24,0,0,pop,0.22,0.3,0.2,Let Me Love You,375,77,0,2017
Demi Lovato,0,0.28,1,1,pop,0.3,0.32,0.14,Sorry Not Sorry,528,110,0,2017
21 Savage,0,0.26,1,9,hip-hop,0.44,0.24,0.14,Bank Account,783,200,0,2017
Justin Timberlake,0,0.28,0,0,hip-hop,0.22,0.3,0.22,Can't Stop The Feeling!,565,107,0,2017
J Balvin & Willy William Featuring Beyonce,1,0.04,0,0,pop,0.08,0.1,0.06,Mi Gente,282,118,0,2017
Imagine Dragons,0,0.1,0,0,pop,0.1,0.14,0.06,Thunder,283,81,0,2017
Migos,0,0.26,1,5,hip-hop,0.36,0.28,0.22,T-Shirt,607,226,0,2017
Yo Gotti Featuring Nicki Minaj,1,0.3,1,7,hip-hop,0.56,0.48,0.3,Rake It Up,885,244,0,2017
Shawn Mendes,0,0.18,0,0,pop,0.22,0.28,0.14,Mercy,357,99,0,2017
Kodak Black,0,0.32,1,4,hip-hop,0.46,0.28,0.18,Tunnel Vision,642,134,0,2017
Post Malone Featuring 21 Savage,1,0.22,1,1,hip-hop,0.32,0.22,0.14,rockstar,515,186,0,2017
Brett Young,0,0.22,0,0,country,0.22,0.32,0.22,In Case You Didn't Know,296,87,0,2017
twenty one pilots,0,0.16,0,0,pop,0.2,0.24,0.16,Heathens,374,119,0,2017
Halsey,0,0.3,0,0,pop,0.3,0.34,0.18,Now Or Never,451,93,0,2017
Amine,0,0.34,1,3,hip-hop,0.44,0.34,0.22,Caroline,526,146,0,2017
Ayo & Teo,1,0.3,1,1,hip-hop,0.26,0.26,0.14,Rolex,639,136,0,2017
Kendrick Lamar,0,0.26,1,6,hip-hop,0.38,0.38,0.28,DNA.,757,327,0,2017
Zay Hilfigerrr & Zayion McCall,1,0.32,0,0,hip-hop,0.34,0.3,0.24,JuJu On That Beat (TZ Anthem),493,138,0,2017
Rae Sremmurd,0,0.3,1,4,hip-hop,0.38,0.26,0.22,Swang,373,141,0,2017
Drake,0,0.24,1,3,pop,0.26,0.26,0.12,Passionfruit,248,107,0,2017
Kendrick Lamar Featuring Rihanna,1,0.42,1,5,hip-hop,0.5,0.46,0.26,LOYALTY.,611,207,0,2017
Kesha,0,0.24,0,0,pop,0.28,0.38,0.26,Praying,396,165,0,2017
Travis Scott,0,0.42,1,3,hip-hop,0.38,0.44,0.28,Goosebumps,577,192,0,2017
Maroon 5 Featuring Future,1,0.32,1,1,pop,0.4,0.44,0.32,Cold,609,155,0,2017
D.R.A.M. Featuring Lil Yachty,1,0.34,1,7,hip-hop,0.42,0.36,0.28,Broccoli,605,245,0,2017
Calvin Harris Featuring Frank Ocean & Migos,1,0.3,1,2,pop,0.36,0.34,0.22,Slide,527,175,0,2017
Kane Brown Featuring Lauren Alaina,1,0.28,0,0,country,0.2,0.28,0.2,What Ifs,413,106,0,2017
Katy Perry Featuring Skip Marley,1,0.14,0,0,pop,0.1,0.12,0.08,Chained To The Rhythm,502,126,0,2017
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",1,0.4,0,0,pop,0.32,0.44,0.32,Feels,520,176,0,2017
Jon Bellion,0,0.16,1,1,pop,0.2,0.22,0.2,All Time Low,310,78,0,2017
Luke Combs,0,0.26,0,0,country,0.24,0.26,0.18,Hurricane,300,114,1,2017
Sam Smith,0,0.24,0,0,pop,0.22,0.26,0.22,Too Good At Goodbyes,445,80,0,2017
Khalid,0,0.16,0,0,pop,0.2,0.24,0.18,Young Dumb & Broke,291,75,0,2017
Playboi Carti,0,0.22,1,5,hip-hop,0.38,0.24,0.18,Magnolia,477,150,0,2017
SZA Featuring Travis Scott,1,0.4,1,3,hip-hop,0.5,0.5,0.36,Love Galore,568,195,0,2017
A Boogie Wit da Hoodie Featuring Kodak Black,1,0.28,1,5,hip-hop,0.36,0.28,0.2,Drowning,623,171,0,2017
Hailee Steinfeld & Grey Featuring Zedd,1,0.22,0,0,pop,0.24,0.3,0.12,Starving,368,73,0,2017
Gucci Mane Featuring Drake,1,0.26,1,3,hip-hop,0.3,0.3,0.14,Both,480,177,0,2017
P!nk,1,0.16,0,0,pop,0.2,0.22,0.18,What About Us?,309,88,0,2017
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,1,0.22,1,3,hip-hop,0.32,0.3,0.2,Swalla,524,171,0,2017
Migos Featuring Gucci Mane,1,0.38,1,6,hip-hop,0.54,0.42,0.26,Slippery,903,322,0,2017
Harry Styles,0,0.22,0,0,pop,0.2,0.26,0.22,Sign Of The Times,383,91,0,2017
Adele,0,0.24,0,0,pop,0.2,0.28,0.22,Water Under The Bridge,470,88,0,2017
Miley Cyrus,0,0.24,0,0,pop,0.18,0.28,0.18,Malibu,288,138,0,2017
Marian Hill,0,0.18,0,0,pop,0.22,0.2,0.16,Down,425,88,0,2017
Cheat Codes Featuring Demi Lovato,1,0.2,0,0,pop,0.22,0.26,0.16,No Promises,288,71,0,2017
Shawn Mendes,0,0.26,0,0,pop,0.32,0.34,0.26,Treat You Better,308,92,0,2017
Gucci Mane Featuring Migos,1,0.32,1,5,hip-hop,0.44,0.36,0.26,I Get The Bag,928,278,0,2017
Dustin Lynch,0,0.26,0,0,country,0.18,0.24,0.14,Small Town Boy,431,109,0,2017
YFN Lucci Featuring PnB Rock,1,0.16,1,4,hip-hop,0.3,0.22,0.14,Everyday We Lit,597,121,0,2017
Camila Cabello Featuring Young Thug,1,0.22,0,0,pop,0.22,0.28,0.1,Havana,477,125,0,2017
Maroon 5 Featuring SZA,1,0.3,0,0,pop,0.32,0.34,0.24,What Lovers Do,452,86,0,2017
Blackbear,0,0.3,1,4,pop,0.3,0.32,0.2,Do Re Mi,410,123,0,2017
XXXTentacion,0,0.18,1,6,hip-hop,0.26,0.2,0.08,Look At Me,354,107,0,2017
Keith Urban Featuring Carrie Underwood,1,0.28,0,0,pop,0.28,0.36,0.22,The Fighter,454,95,0,2017
Justin Bieber,0,0.36,0,0,pop,0.36,0.4,0.3,Love Yourself,477,119,0,2016
Justin Bieber,0,0.2,0,0,pop,0.24,0.28,0.22,Sorry,353,104,0,2016
Drake Featuring WizKid & Kyla,1,0.34,0,0,pop,0.36,0.38,0.24,One Dance,437,120,0,2016
Rihanna Featuring Drake,1,0.3,1,1,pop,0.32,0.46,0.28,Work,602,177,0,2016
twenty one pilots,0,0.2,0,0,pop,0.22,0.22,0.1,Stressed Out,555,143,0,2016
Desiigner,0,0.18,1,6,hip-hop,0.38,0.24,0.16,Panda,658,187,0,2016
Adele,0,0.08,0,0,pop,0.14,0.2,0.16,Hello,397,119,0,2016
The Chainsmokers Featuring Daya,1,0.12,0,0,pop,0.24,0.22,0.14,Don't Let Me Down,422,65,0,2016
Justin Timberlake,0,0.28,0,0,hip-hop,0.22,0.3,0.22,Can't Stop The Feeling!,565,107,0,2016
The Chainsmokers Featuring Halsey,1,0.18,0,0,pop,0.14,0.18,0.12,Closer,412,103,0,2016
Sia Featuring Sean Paul,1,0.24,0,0,pop,0.24,0.3,0.22,Cheap Thrills,379,58,0,2016
Lukas Graham,0,0.24,0,0,pop,0.28,0.28,0.24,7 Years,461,163,0,2016
Rihanna,0,0.24,1,4,hip-hop,0.34,0.24,0.18,Needed Me,307,101,0,2016
Flo Rida,0,0.28,0,0,hip-hop,0.28,0.32,0.22,My House,374,128,0,2016
Mike Posner,0,0.26,1,1,pop,0.3,0.28,0.2,I Took A Pill In Ibiza,439,149,0,2016
Fifth Harmony Featuring Ty Dolla $ign,1,0.36,0,0,pop,0.32,0.42,0.24,Work From Home,480,127,0,2016
Calvin Harris Featuring Rihanna,1,0.12,0,0,pop,0.12,0.14,0.1,This Is What You Came For,255,49,0,2016
DNCE,0,0.24,1,1,pop,0.28,0.32,0.24,Cake By The Ocean,587,118,0,2016
G-Eazy x Bebe Rexha,1,0.34,1,2,hip-hop,0.48,0.48,0.3,"Me, Myself & I",813,201,0,2016
twenty one pilots,0,0.18,0,0,rock,0.24,0.26,0.3,Ride,443,107,0,2016
twenty one pilots,0,0.16,0,0,pop,0.2,0.24,0.16,Heathens,374,119,0,2016
Zayn,0,0.08,1,1,pop,0.06,0.1,0.06,PILLOWTALK,360,81,0,2016
Shawn Mendes,0,0.24,0,0,pop,0.24,0.26,0.2,Stitches,355,107,0,2016
Drake,0,0.28,0,0,hip-hop,0.3,0.32,0.22,Hotline Bling,459,129,0,2016
Major Lazer Featuring Justin Bieber & MO,1,0.24,0,0,pop,0.22,0.3,0.24,Cold Water,299,96,0,2016
Adele,0,0.2,0,0,pop,0.14,0.2,0.16,Send My Love (To Your New Lover),451,86,0,2016
The Chainsmokers Featuring Rozes,1,0.14,0,0,pop,0.14,0.24,0.1,Roses,247,80,0,2016
Shawn Mendes,0,0.26,0,0,pop,0.32,0.34,0.26,Treat You Better,308,92,0,2016
Drake Featuring Rihanna,1,0.38,1,1,pop,0.38,0.44,0.22,Too Good,582,160,0,2016
Future Featuring The Weeknd,1,0.34,1,5,hip-hop,0.42,0.4,0.22,Low Life,843,218,0,2016
Justin Bieber,0,0.28,0,0,pop,0.34,0.4,0.18,What Do You Mean?,473,96,0,2016
The Weeknd,0,0.26,1,1,hip-hop,0.34,0.3,0.24,The Hills,519,136,0,2016
P!nk,1,0.36,0,0,pop,0.3,0.38,0.3,Just Like Fire,531,130,0,2016
D.R.A.M. Featuring Lil Yachty,1,0.34,1,7,hip-hop,0.42,0.36,0.28,Broccoli,605,245,0,2016
Bryson Tiller,0,0.48,1,3,hip-hop,0.46,0.38,0.26,Don't,423,181,0,2016
Ariana Grande,0,0.22,0,0,pop,0.2,0.24,0.14,Dangerous Woman,378,96,0,2016
Drake & Future,1,0.26,1,2,hip-hop,0.46,0.38,0.18,Jumpman,512,212,0,2016
gnash Featuring Olivia O'Brien,1,0.4,1,2,pop,0.44,0.48,0.32,I Hate U I Love U,635,187,0,2016
Alessia Cara,0,0.36,0,0,pop,0.34,0.38,0.24,Here,514,183,0,2016
Selena Gomez,0,0.18,1,1,pop,0.18,0.3,0.18,Same Old Love,356,83,0,2016
Drake,0,0.32,1,1,hip-hop,0.38,0.48,0.2,Controlla,542,183,0,2016
Meghan Trainor Featuring John Legend,1,0.28,0,0,pop,0.26,0.36,0.28,Like I'm Gonna Lose You,354,113,0,2016
Charlie Puth,0,0.3,0,0,pop,0.26,0.34,0.26,One Call Away,290,85,0,2016
James Bay,0,0.22,0,0,pop,0.22,0.3,0.26,Let It Go,324,118,0,2016
Zara Larsson & MNEK,1,0.18,0,0,pop,0.18,0.22,0.18,Never Forget You,458,115,0,2016
DJ Snake Featuring Justin Bieber,1,0.24,0,0,pop,0.22,0.3,0.2,Let Me Love You,375,77,0,2016
Kent Jones,0,0.3,1,2,pop,0.38,0.34,0.22,Don't Mind,597,124,0,2016
Florida Georgia Line,0,0.2,0,0,country,0.18,0.22,0.18,H.O.L.Y.,295,115,0,2016
Charlie Puth Featuring Selena Gomez,1,0.28,0,0,pop,0.3,0.38,0.28,We Don't Talk Anymore,564,119,0,2016
Ariana Grande,0,0.42,0,0,pop,0.36,0.44,0.26,Into You,494,107,0,2016
Kiiara,0,0.2,0,0,pop,0.24,0.2,0.16,Gold,449,63,0,2016
Bryson Tiller,0,0.32,1,2,hip-hop,0.48,0.38,0.22,Exchange,432,188,0,2016
Fetty Wap Featuring Remy Boyz,1,0.2,1,2,hip-hop,0.36,0.24,0.14,679,271,132,0,2016
Jeremih,0,0.26,1,1,hip-hop,0.34,0.32,0.28,Oui,443,106,0,2016
Selena Gomez,0,0.22,0,0,pop,0.26,0.26,0.16,Hands To Myself,328,82,0,2016
Kevin Gates,0,0.34,1,2,hip-hop,0.44,0.38,0.24,2 Phones,787,229,0,2016
The Weeknd Featuring Daft Punk,1,0.22,1,2,pop,0.34,0.26,0.22,Starboy,637,173,0,2016
DJ Khaled Featuring Drake,1,0.4,1,4,hip-hop,0.54,0.46,0.3,For Free,475,184,0,2016
Flume Featuring Kai,1,0.24,1,1,pop,0.22,0.3,0.14,Never Be Like You,429,102,0,2016
The Weeknd,1,0.22,0,0,hip-hop,0.22,0.26,0.18,In The Night,352,95,0,2016
Meghan Trainor,0,0.14,0,0,pop,0.14,0.2,0.14,Me Too,365,85,0,2016
Elle King,0,0.38,0,0,pop,0.28,0.32,0.24,Ex's & Oh's,380,105,0,2016
Thomas Rhett,0,0.24,0,0,pop,0.26,0.28,0.16,Die A Happy Man,320,122,0,2016
Post Malone,0,0.28,1,3,hip-hop,0.4,0.3,0.16,White Iverson,484,152,0,2016
Nick Jonas Featuring Tove Lo,1,0.22,0,0,pop,0.26,0.28,0.16,Close,407,101,0,2016
X Ambassadors,0,0.2,0,0,pop,0.14,0.18,0.16,Unsteady,186,42,0,2016
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",1,0.32,1,2,hip-hop,0.38,0.3,0.18,Sucker For Pain,696,243,0,2016
Yo Gotti Featuring Nicki Minaj,1,0.2,1,5,hip-hop,0.34,0.22,0.16,Down In The DM,449,94,0,2016
Tory Lanez,0,0.34,1,1,hip-hop,0.44,0.42,0.24,Luv,538,97,0,2016
Beyonce,0,0.34,1,3,pop,0.34,0.32,0.26,Sorry,469,150,0,2016
The Weeknd,1,0.18,0,0,pop,0.16,0.2,0.14,Can't Feel My Face,408,63,0,2016
Coldplay,0,0.2,0,0,pop,0.18,0.26,0.16,Hymn For The Weekend,375,84,0,2016
Tory Lanez,0,0.4,1,2,hip-hop,0.46,0.46,0.28,Say It,649,117,0,2016
Travis Scott,0,0.38,1,4,hip-hop,0.5,0.34,0.24,Antidote,551,173,0,2016
Ruth B,0,0.14,0,0,pop,0.18,0.16,0.12,Lost Boy,445,133,0,2016
Ariana Grande Featuring Nicki Minaj,1,0.38,1,1,pop,0.4,0.42,0.3,Side To Side,562,152,0,2016
Daya,0,0.28,0,0,pop,0.28,0.36,0.24,"Sit Still, Look Pretty",520,129,0,2016
Taylor Swift,0,0.22,0,0,pop,0.18,0.28,0.2,Wildest Dreams,374,115,0,2016
DJ Snake Featuring Bipolar Sunshine,1,0.1,0,0,pop,0.16,0.16,0.14,Middle,219,98,0,2016
Ellie Goulding,0,0.26,0,0,pop,0.28,0.32,0.18,On My Mind,543,97,0,2016
Drake Featuring The Throne,1,0.36,1,4,hip-hop,0.52,0.46,0.22,Pop Style,451,185,0,2016
Adele,0,0.22,0,0,pop,0.18,0.26,0.26,When We Were Young,378,116,0,2016
Daya,0,0.36,0,0,pop,0.3,0.42,0.24,Hide Away,354,102,0,2016
Major Lazer & DJ Snake Featuring MO,1,0.12,0,0,pop,0.1,0.1,0.12,Lean On,240,80,0,2016
Shawn Mendes & Camila Cabello,1,0.2,0,0,pop,0.26,0.38,0.24,I Know What You Did Last Summer,823,104,0,2016
Silento,0,0.1,0,0,hip-hop,0.14,0.1,0.04,Watch Me (Whip / Nae Nae),486,40,0,2016
Chris Brown,0,0.36,1,1,hip-hop,0.34,0.4,0.24,Back To Sleep,402,113,0,2016
Usher Featuring Young Thug,1,0.4,1,5,hip-hop,0.46,0.32,0.24,No Limit,605,187,0,2016
O.T. Genasis Featuring Young Dolph,1,0.28,1,5,pop,0.48,0.38,0.22,Cut It,617,186,0,2016
Kevin Gates,0,0.26,1,1,hip-hop,0.4,0.28,0.2,Really Really,646,242,0,2016
Fifth Harmony Featuring Fetty Wap,1,0.32,1,1,pop,0.34,0.38,0.22,All In My Head (Flex),488,107,0,2016
Hailee Steinfeld & Grey Featuring Zedd,1,0.22,0,0,pop,0.24,0.3,0.12,Starving,368,73,0,2016
